dataset,weights,img_size,sf,rf,avg_f1,latency,log_time
JN,1002-1423,600,0.05,0.05,0.0,0.0005148672,1030-2241
JN,1002-1423,600,0.05,0.1,0.029455579246624015,0.0005849088,1030-2255
JN,1002-1423,600,0.05,0.15,0.07771344040574814,0.0007016447999999999,1030-2310
JN,1002-1423,600,0.05,0.2,0.2437988545920561,0.0008650752,1030-2324
JN,1002-1423,600,0.05,0.25,0.29066359166017564,0.0010752,1030-2339
JN,1002-1423,600,0.05,0.3,0.45369309485284276,0.0013320192000000001,1030-2354
JN,1002-1423,600,0.05,0.35,0.4485611704999444,0.0016355328,1031-0008
JN,1002-1423,600,0.05,0.4,0.5716108911711392,0.0019857408,1031-0023
JN,1002-1423,600,0.05,0.45,0.544902729328956,0.0023826432,1031-0038
JN,1002-1423,600,0.05,0.5,0.626877539240014,0.00282624,1031-0053
JN,1002-1423,600,0.05,0.55,0.6896658638368923,0.0033165312000000002,1031-0107
JN,1002-1423,600,0.05,0.6,0.6692896977007495,0.0038535167999999994,1031-0122
JN,1002-1423,600,0.05,0.65,0.7342802021730801,0.0044371968,1031-0137
JN,1002-1423,600,0.05,0.7,0.6780158375903037,0.005067571199999999,1031-0151
JN,1002-1423,600,0.05,0.75,0.739281360039377,0.00574464,1031-0206
JN,1002-1423,600,0.05,0.8,0.6845840325758819,0.006468403200000001,1031-0221
JN,1002-1423,600,0.05,0.85,0.7355824062345799,0.007238860799999998,1031-0236
JN,1002-1423,600,0.05,0.9,0.7020337629739828,0.0080560128,1031-0250
JN,1002-1423,600,0.05,0.95,0.7334970342541685,0.0089198592,1031-0305
JN,1002-1423,600,0.1,0.05,0.0022888056595921765,0.0010051584,1031-0320
JN,1002-1423,600,0.1,0.1,0.04235019366598313,0.0010715136,1031-0334
JN,1002-1423,600,0.1,0.15,0.08929628689841841,0.0011821056000000001,1031-0348
JN,1002-1423,600,0.1,0.2,0.25797324037643016,0.0013369344,1031-0402
JN,1002-1423,600,0.1,0.25,0.2901853277851004,0.001536,1031-0416
JN,1002-1423,600,0.1,0.3,0.45556119118976024,0.0017793023999999999,1031-0430
JN,1002-1423,600,0.1,0.35,0.45955336211746256,0.0020668416,1031-0445
JN,1002-1423,600,0.1,0.4,0.5676385367620396,0.0023986176000000002,1031-0459
JN,1002-1423,600,0.1,0.45,0.5527483240789896,0.0027746304,1031-0513
JN,1002-1423,600,0.1,0.5,0.6387992604891528,0.0031948799999999998,1031-0527
JN,1002-1423,600,0.1,0.55,0.6843158164586725,0.003659366400000001,1031-0541
JN,1002-1423,600,0.1,0.6,0.6811004108534252,0.0041680896,1031-0555
JN,1002-1423,600,0.1,0.65,0.7248172751108745,0.004721049600000001,1031-0610
JN,1002-1423,600,0.1,0.7,0.6930674107076641,0.005318246399999999,1031-0624
JN,1002-1423,600,0.1,0.75,0.7449409469644066,0.005959679999999999,1031-0638
JN,1002-1423,600,0.1,0.8,0.6877434855683106,0.006645350400000001,1031-0652
JN,1002-1423,600,0.1,0.85,0.7371834054052362,0.007375257599999999,1031-0706
JN,1002-1423,600,0.1,0.9,0.7023972537229013,0.0081494016,1031-0720
JN,1002-1423,600,0.1,0.95,0.726701805945992,0.008967782399999999,1031-0735
JN,1002-1423,600,0.15,0.05,0.005302557704304429,0.0014954495999999998,1031-0749
JN,1002-1423,600,0.15,0.1,0.0639300376487504,0.0015581184,1031-0802
JN,1002-1423,600,0.15,0.15,0.10686892566325204,0.0016625664,1031-0816
JN,1002-1423,600,0.15,0.2,0.285930446503513,0.0018087936,1031-0830
JN,1002-1423,600,0.15,0.25,0.30505395053433765,0.0019968,1031-0843
JN,1002-1423,600,0.15,0.3,0.47336541852855346,0.0022265856,1031-0857
JN,1002-1423,600,0.15,0.35,0.47731271080813215,0.0024981504,1031-0911
JN,1002-1423,600,0.15,0.4,0.581402820664181,0.0028114944,1031-0925
JN,1002-1423,600,0.15,0.45,0.5570667977717413,0.0031666176,1031-0939
JN,1002-1423,600,0.15,0.5,0.6424155283070427,0.0035635199999999997,1031-0953
JN,1002-1423,600,0.15,0.55,0.6885943046969872,0.004002201600000001,1031-1007
JN,1002-1423,600,0.15,0.6,0.6880407200868286,0.004482662399999999,1031-1022
JN,1002-1423,600,0.15,0.65,0.7417433130286898,0.0050049024000000004,1031-1036
JN,1002-1423,600,0.15,0.7,0.6941767089593163,0.005568921599999999,1031-1050
JN,1002-1423,600,0.15,0.75,0.7477900339858133,0.006174719999999999,1031-1104
JN,1002-1423,600,0.15,0.8,0.6916919295415792,0.0068222976,1031-1119
JN,1002-1423,600,0.15,0.85,0.7431396495998264,0.007511654399999999,1031-1132
JN,1002-1423,600,0.15,0.9,0.716796997212941,0.0082427904,1031-1147
JN,1002-1423,600,0.15,0.95,0.7410989398198704,0.0090157056,1031-1201
JN,1002-1423,600,0.2,0.05,0.009253880233547517,0.0019857408,1031-1216
JN,1002-1423,600,0.2,0.1,0.07830937406409108,0.0020447232,1031-1229